pref,name,address,tel
徳島,貞光ゆうゆう館,美馬郡つるぎ町貞光字大須賀11-1,0883-62-5000
徳島,鷲の里,那賀郡那賀町和食郷字田野89,0884-62-3109
徳島,宍喰（ししくい）温泉,海部郡海陽町久保字板取219-6,0884-76-3442
徳島,どなり,阿波市土成町宮川内字平間28-2,088-695-5405
徳島,にしいや,三好市西祖谷山村尾井ﾉ内348-2,0883-87-2670
徳島,わじき,那賀郡那賀町中山字関が原34-56,0884-62-3553
徳島,公方の郷なかがわ,阿南市那賀川町工地803,0884-21-2631
徳島,もみじ川温泉,那賀郡那賀町大久保字西納野4-7,0884-62-1171
徳島,温泉の里神山,名西郡神山町神領字西上角151-1,088-636-7077
徳島,藍ランドうだつ,美馬市脇町大字脇町55,0883-53-2333
徳島,三野,三好市三野町太刀野1909-1,0883-76-2050／0883-76-2010（農産物直売所）
徳島,日和佐,海部郡美波町奥河内字寺前493-6,0884-77-2121
徳島,第九の里,鳴門市大麻町桧字東山田53,088-689-1119
徳島,大歩危,三好市山城町上名1553-1,0883-84-1489
徳島,ひなの里かつうら,勝浦郡勝浦町大字生名字月ノ瀬4-1,0885-44-0112
徳島,みまの里,美馬市美馬町字願勝寺72番地,0883-63-3837
徳島,いたの,徳島県板野郡板野町川端字中手崎39-5,088-685-9696
徳島,くるくる なると,徳島県鳴門市大津町備前島字蟹田の越３３８番地１,
香川,瀬戸大橋記念公園,坂出市番の州緑町6-13,0877-45-2344
香川,津田の松原,さぬき市津田町津田103-3,0879-42-5520
香川,ことひき,観音寺市有明町3-37,0875-24-2150(（一社)観光協会）
香川,ふれあいパークみの,三豊市三野町大見乙74,0875-72-2601
香川,小豆島オリーブ公園,小豆郡小豆島町西村甲1941-1,0879-82-2200
香川,小豆島ふるさと村,小豆郡小豆島町室生2084-1,0879-75-2266
香川,空の夢もみの木パーク,仲多度郡まんのう町追上424-1,0877-75-1994
香川,みろく,さぬき市大川町富田中3298-1,0879-43-0550
香川,しおのえ,高松市塩江町安原上東390-21,087-893-1378
香川,滝宮,綾歌郡綾川町滝宮1578,087-876-5018
香川,ことなみ,仲多度郡まんのう町川東2355-1,0877-56-0015
香川,恋人の聖地うたづ臨海公園,綾歌郡宇多津町浜一番丁4,0877-49-0860
香川,とよはま,観音寺市豊浜町箕浦字大西甲2506,0875-56-3655
香川,たからだの里さいた,三豊市財田町財田上180-6,0875-67-3883
香川,大坂城残石記念公園,小豆郡土庄町小海甲909-1,0879-65-2865
